  7.800 0.224362E-01 0.367953E-02 0.411928E-01 0.216390E-03 0.379331E-03 0.534482E-04
  7.900 0.221214E-01 0.362791E-02 0.406149E-01 0.214022E-03 0.375181E-03 0.528635E-04
  8.000 0.218121E-01 0.357719E-02 0.400471E-01 0.211689E-03 0.371090E-03 0.522871E-04
  8.100 0.215082E-01 0.352735E-02 0.394891E-01 0.209389E-03 0.367058E-03 0.517190E-04
  8.200 0.212096E-01 0.347837E-02 0.389408E-01 0.207122E-03 0.363084E-03 0.511590E-04
  8.300 0.209162E-01 0.343026E-02 0.384022E-01 0.204888E-03 0.359168E-03 0.506072E-04
  8.400 0.206280E-01 0.338299E-02 0.378729E-01 0.202686E-03 0.355308E-03 0.500634E-04
  8.500 0.203448E-01 0.333654E-02 0.373530E-01 0.200516E-03 0.351505E-03 0.495274E-04
  8.600 0.200666E-01 0.329092E-02 0.368422E-01 0.198378E-03 0.347756E-03 0.489993E-04
  8.700 0.197933E-01 0.324609E-02 0.363404E-01 0.196271E-03 0.344063E-03 0.484789E-04
  8.800 0.195248E-01 0.320206E-02 0.358475E-01 0.194195E-03 0.340423E-03 0.479661E-04
  8.900 0.192610E-01 0.315880E-02 0.353632E-01 0.192149E-03 0.336837E-03 0.474608E-04
  9.000 0.190019E-01 0.311631E-02 0.348875E-01 0.190133E-03 0.333304E-03 0.469630E-04
  9.100 0.187473E-01 0.307456E-02 0.344201E-01 0.188147E-03 0.329822E-03 0.464724E-04
  9.200 0.184973E-01 0.303355E-02 0.339610E-01 0.186191E-03 0.326392E-03 0.459891E-04
  9.300 0.182516E-01 0.299327E-02 0.335100E-01 0.184262E-03 0.323012E-03 0.455128E-04
  9.400 0.180103E-01 0.295369E-02 0.330669E-01 0.182363E-03 0.319682E-03 0.450436E-04
  9.500 0.177732E-01 0.291481E-02 0.326316E-01 0.180491E-03 0.316401E-03 0.445813E-04
  9.600 0.175403E-01 0.287661E-02 0.322040E-01 0.178647E-03 0.313168E-03 0.441257E-04
  9.700 0.173115E-01 0.283908E-02 0.317839E-01 0.176830E-03 0.309982E-03 0.436769E-04
  9.800 0.170867E-01 0.280222E-02 0.313712E-01 0.175039E-03 0.306844E-03 0.432346E-04
  9.900 0.168658E-01 0.276600E-02 0.309657E-01 0.173275E-03 0.303751E-03 0.427989E-04
 10.000 0.166488E-01 0.273041E-02 0.305673E-01 0.171537E-03 0.300704E-03 0.423696E-04
 10.100 0.164356E-01 0.269544E-02 0.301758E-01 0.169824E-03 0.297701E-03 0.419465E-04
 10.200 0.162262E-01 0.266109E-02 0.297912E-01 0.168136E-03 0.294743E-03 0.415296E-04
 10.300 0.160203E-01 0.262733E-02 0.294133E-01 0.166473E-03 0.291827E-03 0.411189E-04
 10.400 0.158180E-01 0.259416E-02 0.290419E-01 0.164834E-03 0.288955E-03 0.407141E-04
 10.500 0.156193E-01 0.256156E-02 0.286770E-01 0.163220E-03 0.286124E-03 0.403152E-04
 10.600 0.154240E-01 0.252953E-02 0.283184E-01 0.161628E-03 0.283334E-03 0.399222E-04
 10.700 0.152320E-01 0.249805E-02 0.279660E-01 0.160060E-03 0.280585E-03 0.395348E-04
 10.800 0.150434E-01 0.246711E-02 0.276196E-01 0.158514E-03 0.277876E-03 0.391530E-04
 10.900 0.148580E-01 0.243671E-02 0.272792E-01 0.156991E-03 0.275205E-03 0.387768E-04
